com.samsung.shealth.hsp.references,6266001,1
hsp_id,shealth_id,update_time,create_time,shealth_data_type,deviceuuid,pkg_name,datauuid
139b4e2b-5147-41d0-a065-186e371cfecc,1839ebf2-49ad-d351-608f-e3d00714c6ae,2023-10-16 21:32:04.685,2023-10-16 21:32:04.685,10004,87RAVxanZM,com.sec.android.app.shealth,19730f39-b39b-415e-9316-1eb67069eb00,
b215c4b2-0bef-48bd-8c65-41ba04911be5,52a305bf-0e6b-b0a0-468b-f01c4d3579cc,2023-10-16 21:32:04.783,2023-10-16 21:32:04.783,10004,87RAVxanZM,com.sec.android.app.shealth,bd0f2ed5-ea17-4f77-ae7a-491927e0d087,
e9742699-d5ce-4055-8be6-39eba87b1c8c,3a658739-f6cc-1e1b-2967-210a9cccf530,2023-10-16 21:33:58.337,2023-10-16 21:33:58.337,10004,87RAVxanZM,com.sec.android.app.shealth,480621fd-7241-4123-b065-9b8f7799b90c,
6a363f85-0a92-4661-ba17-4b44e9105082,97937587-2595-47be-aa19-ce24734eaed4,2023-10-16 21:33:58.455,2023-10-16 21:33:58.455,10000,87RAVxanZM,com.sec.android.app.shealth,ab9e795f-a1f6-4604-b3c8-cc3dcfd46afa,
be1e2507-3428-48a2-82fa-22fc5c74ce5c,1d4f69ab-7625-37f7-9339-d1434b67311c,2023-10-16 22:41:11.990,2023-10-16 22:41:11.990,10004,87RAVxanZM,com.sec.android.app.shealth,e91e5417-a930-47fb-8ba2-f0f6078bdfca,
42bef40f-2ef4-440f-9b19-9adb4e86f701,406e8c9c-ee7d-00d9-7c8d-70b6dff3cb66,2023-10-16 22:41:12.153,2023-10-16 22:41:12.153,10004,87RAVxanZM,com.sec.android.app.shealth,d2de6cfd-c44b-4076-bb8f-e132d0609cba,
b8a82b7d-96ec-4423-9882-280db9448f09,1f39d09a-63b2-4084-9121-192001bca182,2023-10-16 22:48:08.745,2023-10-16 22:48:08.745,10001,87RAVxanZM,com.sec.android.app.shealth,31da4a83-fb4a-4102-9b41-47375cfadff4,
3307e931-03c3-4fd6-858c-6d2f2ada34eb,984869e8-06e3-11d0-d567-7bbc40db4dbd,2023-10-16 22:48:08.896,2023-10-16 22:48:08.896,10004,87RAVxanZM,com.sec.android.app.shealth,d5baa9a9-b429-4704-b8a9-154522928456,
04bfe0b5-5686-49a3-8f0e-1fd394b83f03,71286401-6176-2c4d-2aca-21d239e87200,2023-10-16 22:50:04.798,2023-10-16 22:50:04.798,10004,87RAVxanZM,com.sec.android.app.shealth,17f4a5c0-e32c-469a-addd-a5c46647731a,
7879dbe6-3621-458e-8686-1f246afeb044,e92d8496-b4fb-ffe0-ebac-b9a24322ad22,2023-10-16 23:01:08.687,2023-10-16 23:01:08.687,10004,87RAVxanZM,com.sec.android.app.shealth,30cf0254-8859-4d09-ad47-00ceea3e92b3,
